chat_history,target_class,target_sentiment
Customer: The app interface is very confusing. Admin: We will forward your feedback to the team.,feedback,negative
Customer: Could you change the delivery address? Admin: Let me check that for you.,orders,neutral
Customer: I can't log in to my account. Admin: Let me assist you.,support,negative
Customer: I love your service! Admin: Thank you!,feedback,positive
Customer: I'm not happy with my order. Admin: I'm sorry to hear that.,complaint,negative
Customer: The app won’t let me log in. Admin: Have you tried resetting your password?,support,negative
Customer: لقد أضفت طلبي ولكني لم أتلقى تأكيد بعد. Admin: سنتحقق من الأمر.,orders,negative
Customer: خدمتك ممتازة دائمًا! Admin: نشكرك على رأيك.,feedback,positive
Customer: I am facing issues with the app crashing. Admin: We will look into it.,support,negative
"Customer: Can I modify my recent order? Admin: Sure, let me help you.",orders,neutral
Customer: أريد إلغاء طلبي. Admin: سيتم الإلغاء فورًا.,orders,negative
Customer: أحببت هذه التحديثات! Admin: نشكرك.,feedback,positive
Customer: I can't find the tracking option. Admin: It should be under your profile.,support,neutral
Customer: My order was delayed. Admin: I apologize for the inconvenience.,complaint,negative
Customer: Why is the price higher than usual? Admin: Prices fluctuate based on demand.,other,neutral
Customer: What are your store hours? Admin: We are open from 9 AM to 9 PM.,other,neutral
"Customer: I need help with my password reset. Admin: Sure, I will guide you through the process.",support,negative
Customer: لقد واجهت مشكلة في الدفع. Admin: سنتحقق من المشكلة فورًا.,support,negative
Customer: Thanks for the quick service! Admin: Glad to help.,feedback,positive
Customer: My product arrived damaged. Admin: We will send a replacement.,complaint,negative
Customer: The app interface is very confusing. Admin: We will forward your feedback to the team.,feedback,negative
Customer: Could you change the delivery address? Admin: Let me check that for you.,orders,neutral
Customer: I can't log in to my account. Admin: Let me assist you.,support,negative
Customer: I love your service! Admin: Thank you!,feedback,positive
Customer: I'm not happy with my order. Admin: I'm sorry to hear that.,complaint,negative
Customer: The app won’t let me log in. Admin: Have you tried resetting your password?,support,negative
Customer: لقد أضفت طلبي ولكني لم أتلقى تأكيد بعد. Admin: سنتحقق من الأمر.,orders,negative
Customer: خدمتك ممتازة دائمًا! Admin: نشكرك على رأيك.,feedback,positive
Customer: I am facing issues with the app crashing. Admin: We will look into it.,support,negative
"Customer: Can I modify my recent order? Admin: Sure, let me help you.",orders,neutral
Customer: أريد إلغاء طلبي. Admin: سيتم الإلغاء فورًا.,orders,negative
Customer: أحببت هذه التحديثات! Admin: نشكرك.,feedback,positive
Customer: I can't find the tracking option. Admin: It should be under your profile.,support,neutral
Customer: My order was delayed. Admin: I apologize for the inconvenience.,complaint,negative
Customer: Why is the price higher than usual? Admin: Prices fluctuate based on demand.,other,neutral
Customer: What are your store hours? Admin: We are open from 9 AM to 9 PM.,other,neutral
"Customer: I need help with my password reset. Admin: Sure, I will guide you through the process.",support,negative
Customer: لقد واجهت مشكلة في الدفع. Admin: سنتحقق من المشكلة فورًا.,support,negative
Customer: Thanks for the quick service! Admin: Glad to help.,feedback,positive
Customer: My product arrived damaged. Admin: We will send a replacement.,complaint,negative
Customer: The app interface is very confusing. Admin: We will forward your feedback to the team.,feedback,negative
Customer: Could you change the delivery address? Admin: Let me check that for you.,orders,neutral
Customer: I can't log in to my account. Admin: Let me assist you.,support,negative
Customer: I love your service! Admin: Thank you!,feedback,positive
Customer: I'm not happy with my order. Admin: I'm sorry to hear that.,complaint,negative
Customer: The app won’t let me log in. Admin: Have you tried resetting your password?,support,negative
Customer: لقد أضفت طلبي ولكني لم أتلقى تأكيد بعد. Admin: سنتحقق من الأمر.,orders,negative
Customer: خدمتك ممتازة دائمًا! Admin: نشكرك على رأيك.,feedback,positive
Customer: I am facing issues with the app crashing. Admin: We will look into it.,support,negative
"Customer: Can I modify my recent order? Admin: Sure, let me help you.",orders,neutral
Customer: أريد إلغاء طلبي. Admin: سيتم الإلغاء فورًا.,orders,negative
Customer: أحببت هذه التحديثات! Admin: نشكرك.,feedback,positive
Customer: I can't find the tracking option. Admin: It should be under your profile.,support,neutral
Customer: My order was delayed. Admin: I apologize for the inconvenience.,complaint,negative
Customer: Why is the price higher than usual? Admin: Prices fluctuate based on demand.,other,neutral
Customer: What are your store hours? Admin: We are open from 9 AM to 9 PM.,other,neutral
"Customer: I need help with my password reset. Admin: Sure, I will guide you through the process.",support,negative
Customer: لقد واجهت مشكلة في الدفع. Admin: سنتحقق من المشكلة فورًا.,support,negative
Customer: Thanks for the quick service! Admin: Glad to help.,feedback,positive
Customer: My product arrived damaged. Admin: We will send a replacement.,complaint,negative
Customer: The app interface is very confusing. Admin: We will forward your feedback to the team.,feedback,negative
Customer: Could you change the delivery address? Admin: Let me check that for you.,orders,neutral
